祖先	そせん	Ancestor 
双子	ふたご	twins 
消極的	しょうきょくてき	Negative, unmotivated, passive
やかましい	Noisy 	
そそっかしい	Careless, thoughtless 	
慎重	しんちょう	Carefulness / Voorzichtigheid
だらしない	Losjes en sletterig 	
器用	きよう	nimble-fingered, dexterous, dextrous, skillful (with the fingers), skilful, handy
謙虚	けんきょ	modesty, humility
生意気	なまいき	impertinent, saucy, cheeky, conceit, audacious, brazen
鈍い	にぶい	
弱気 な	よわき	Timid 
陽気	ようき	cheerful, jovial, merry, lively
純粋	pure, true, genuine, unmixed	じゅんすい
穏やか	おだやか	calm, gentle, quiet
ずうずうしい		impudent, shameless
飽き	あき	Tiredness, weariness
夫妻	Man and wife, married couple	ふさい 
取り消す		to cancel, to withdraw, to retract, to take back (words, etc.), to revoke
金遣い	かねづかい	(way of) spending money
長年		ながねん
憎む	にくむ	to hate, to detest
恨む	うらむ	to resent, to curse, to feel bitter, to blame, to bear a grudge
失望		disappointment, despair
あたかも	As if, as though, at that moment	
完治	かんち<br>	
鳴る	なる	To sound 
勘が鋭い	かん が するどい	Perception is sharp
気が荒い	きがあらい	Bad tempered (Arai = rude)<br>
荒い	あらい	Rude 
恩恵	おんけい	Favor 
慰める	なぐさめる	
羨む	うらやむ	To envy someone
けなす　（貶す）	To speak ill off	
にらむ	To glare at, to scowl at	
憧れる	あこがれる	To long for, to yearn after<br>
失望する		To be in despair/Dissappointment
憎い/憎む	にくい/にくむ	Hateful,　Abominable
忠告する	ちゅうこくする	To warn someone
言いつける	To tell (to do); to order; to charge; to direct​	
皮肉	ひにく	Sarcasm
自慢する	じまんする	To pride, to boast
哀れ	あわれ	pity; sorrow; grief; misery; compassion; pathos​
人が気の毒だ	き　の　どく	Someone is pitiful; unfortunate; poor; miserable; wretched​
子供に怒鳴る	こども　に　どなる	To yell at the child
誤解を解く	ごかい　を　ほどく	To solve a misunderstanding
作法（を守る）	さほう	（To protect）　Mannersm etiquette
何かを重視する	To regard something as important	重視　＝　じゅうし
道徳を重視する	どうとく　を　じゅうし　する	To regard morals as important
水を口に含む	To hold water in your mouth	
雨をしゃぶる	To lick rain	Rain ( ͡° ͜ʖ ͡°)
香りをかぐ	To smell the aroma	
湯のみ	湯飲　よのみ	Teacup
栄養（を取る）	えいよう	Nutrition
消化	しょうか	Digestion
胃	い	Stomach
胃にもたれる	い　に　もたれる	to lie heavy (on the stomach); to be uneasily digested​
宴会/歓迎会	えんかい/かんげいかい	party; banquet; reception; feast; dinner​。　<div><br /></div><div>welcome party​<div><br /></div></div>
